
PDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2013-3-2,56,41,26,36,31,24,92,69,46,30.48,30.29,30.08,10,10,10,9,3,10,0.00,1,,85<br />
2013-3-3,46,41,36,39,36,27,92,81,70,30.04,30.00,29.94,10,10,5,15,5,18,0.04,8,Rain,225<br />
2013-3-4,44,35,26,23,19,10,75,57,39,30.20,30.16,30.04,10,10,10,14,5,17,0.00,3,,66<br />
2013-3-5,58,42,26,29,24,19,75,54,32,30.15,29.94,29.69,10,10,10,26,9,38,0.00,0,,120<br />
2013-3-6,52,41,29,29,23,12,69,52,35,29.96,29.78,29.67,10,10,10,40,11,49,T,3,Rain,238<br />
2013-3-7,39,34,29,33,28,17,96,74,51,29.97,29.89,29.84,10,5,0,16,6,20,0.18,8,Fog-Snow,38<br />
2013-3-8,44,34,23,37,29,22,100,81,62,29.89,29.82,29.74,10,6,0,17,5,23,0.06,6,Fog-Snow,246<br />
2013-3-9,47,36,25,24,21,16,78,53,28,30.40,30.17,29.90,10,10,10,15,5,21,0.00,0,,318<br />
2013-3-10,51,36,20,25,21,17,91,59,27,30.48,30.41,30.35,10,10,10,14,4,17,0.00,0,,257<br />
2013-3-11,56,40,23,29,25,20,88,60,32,30.37,30.30,30.22,10,10,10,15,4,20,0.00,2,,242<br />
2013-3-12,60,44,28,33,30,26,92,62,31,30.32,30.26,30.20,10,10,10,10,2,15,0.00,1,,225<br />
2013-3-13,68,48,27,34,29,24,85,54,22,30.36,30.27,30.18,10,10,9,9,2,,0.00,0,,9<br />
