
PDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2010-3-2,54,44,33,34,29,26,82,59,35,30.01,29.90,29.81,10,10,10,21,9,28,T,4,,139<br />
2010-3-3,54,42,30,34,30,23,100,67,33,29.89,29.80,29.63,10,10,10,17,6,22,T,6,,119<br />
2010-3-4,40,36,31,32,30,27,100,80,59,29.95,29.73,29.59,10,6,1,22,11,28,0.14,8,Snow,224<br />
2010-3-5,47,36,25,31,28,23,89,64,38,30.07,30.01,29.93,10,10,9,14,6,17,T,7,Snow,195<br />
2010-3-6,51,37,23,29,25,21,96,63,30,30.07,29.95,29.83,10,10,10,14,5,20,0.00,0,,59<br />
2010-3-7,45,36,27,36,30,25,92,73,53,29.84,29.80,29.77,10,10,10,13,2,15,0.01,3,Rain,183<br />
2010-3-8,53,39,25,36,30,23,100,73,46,29.92,29.83,29.75,10,5,0,23,4,30,0.22,7,Fog-Rain-Snow,219<br />
2010-3-9,37,31,24,30,24,14,92,66,40,29.91,29.83,29.76,10,7,1,22,4,26,0.13,6,Snow,313<br />
2010-3-10,38,31,23,25,20,14,92,68,44,30.13,29.92,29.82,10,6,1,18,6,23,0.02,6,Snow,311<br />
2010-3-11,42,30,17,21,18,13,91,66,40,30.27,30.22,30.16,10,10,10,15,5,21,0.00,0,,131<br />
2010-3-12,47,34,20,30,21,15,84,62,40,30.21,30.02,29.75,10,10,10,14,7,17,0.00,2,,86<br />
2010-3-13,42,32,21,32,23,17,92,74,56,30.25,29.95,29.70,10,7,0,23,9,31,0.14,7,Fog-Rain-Snow,281<br />
2010-3-14,43,29,14,22,18,11,84,62,40,30.46,30.37,30.28,10,10,10,12,3,15,0.00,0,,163<br />
2010-3-15,53,37,20,29,23,16,88,62,35,30.51,30.47,30.40,10,10,10,9,4,13,0.00,0,,71<br />
2010-3-16,61,43,25,31,28,22,92,62,32,30.50,30.43,30.35,10,10,10,14,6,17,0.00,0,,78<br />
2010-3-17,62,46,29,33,30,27,92,61,29,30.36,30.23,30.07,10,10,10,9,3,15,0.00,0,,77<br />
2010-3-18,51,38,24,33,23,13,92,58,24,30.22,30.11,30.04,10,10,10,15,5,21,T,2,,358<br />
2010-3-19,50,35,19,21,14,6,84,52,19,30.30,30.23,30.19,10,10,10,15,5,21,0.00,0,,331<br />
2010-3-20,59,39,19,23,17,13,84,51,17,30.37,30.30,30.24,10,10,10,10,3,14,0.00,0,,67<br />
2010-3-21,62,44,26,25,17,2,81,46,11,30.25,30.13,30.03,10,10,10,59,5,69,0.00,0,,149<br />
2010-3-22,46,36,26,32,26,19,81,63,45,30.18,30.05,30.00,10,10,10,22,6,28,T,6,Rain,322<br />
2010-3-23,49,33,17,24,18,13,92,58,23,30.28,30.23,30.16,10,10,10,13,4,16,0.00,0,,97<br />
2010-3-24,58,39,19,20,16,11,84,50,16,30.27,30.11,29.87,10,10,10,13,5,16,0.00,0,,99<br />
2010-3-25,50,41,32,29,22,15,75,51,26,29.96,29.90,29.75,10,8,1,33,13,40,T,5,Snow,250<br />
2010-3-26,45,34,22,29,25,16,85,58,31,30.33,30.08,29.95,10,7,1,32,11,43,0.02,6,Snow,271<br />
2010-3-27,53,34,14,22,16,10,88,54,19,30.49,30.40,30.34,10,10,10,12,2,15,0.00,0,,100<br />
2010-3-28,65,44,22,21,17,13,74,44,13,30.36,30.20,30.02,10,10,10,17,6,26,0.00,0,,132<br />
2010-3-29,70,56,42,29,21,14,45,30,14,29.99,29.72,29.49,10,7,1,28,13,35,0.00,3,,239<br />
2010-3-30,55,43,31,30,26,20,64,48,32,29.74,29.54,29.37,10,7,2,30,16,38,0.00,6,,250<br />
2010-3-31,35,26,17,28,26,17,100,85,70,29.83,29.72,29.66,10,4,0,17,3,20,0.27,7,Fog-Snow,143<br />
2010-4-1,38,26,13,27,21,12,100,74,47,30.01,29.89,29.75,10,8,0,22,6,26,0.01,5,Fog-Snow,274<br />
2010-4-2,41,32,23,34,28,20,96,70,44,30.06,29.84,29.67,10,6,0,28,9,36,0.45,6,Fog-Rain-Snow,228<br />
2010-4-3,39,32,24,28,23,15,88,66,44,30.02,29.88,29.78,10,8,2,18,7,23,0.03,5,Snow,236<br />
2010-4-4,47,36,24,34,28,19,100,69,37,29.92,29.78,29.61,10,6,0,22,6,29,0.07,6,Fog-Rain-Snow,129<br />
2010-4-5,38,32,26,34,29,18,100,72,44,30.04,29.68,29.56,10,5,0,26,8,30,0.17,6,Fog-Snow,239<br />
2010-4-6,43,35,27,25,23,20,85,62,39,30.40,30.22,30.06,10,9,2,26,9,33,T,5,Snow,256<br />
2010-4-7,51,37,23,28,24,21,96,64,32,30.45,30.35,30.19,10,10,10,16,2,32,0.00,0,,246<br />
2010-4-8,65,46,27,32,26,21,85,53,20,30.18,29.99,29.84,10,10,10,26,8,35,0.00,0,,30<br />
2010-4-9,51,38,24,21,17,14,81,54,26,30.13,30.04,29.99,10,10,10,15,5,23,0.00,0,,54<br />
2010-4-10,67,48,29,29,21,14,64,40,16,29.97,29.82,29.69,10,10,10,23,5,28,0.00,2,,112<br />
2010-4-11,63,55,47,18,12,7,29,21,13,29.78,29.66,29.53,10,10,10,30,14,48,0.00,1,,193<br />
2010-4-12,55,43,30,34,30,14,96,58,19,29.81,29.71,29.53,10,7,1,23,7,29,0.08,6,Snow,235<br />
2010-4-13,48,39,29,33,29,23,92,65,38,30.06,29.93,29.80,10,9,2,22,7,25,0.11,4,Rain-Snow-Thunderstorm,230<br />
2010-4-14,60,43,25,28,24,21,88,56,24,30.07,29.98,29.90,10,10,10,18,6,26,0.00,2,,101<br />
2010-4-15,69,50,30,28,24,15,78,46,13,30.12,30.04,29.96,10,10,10,14,5,18,0.00,0,,76<br />
2010-4-16,72,53,33,31,26,19,70,43,15,30.01,29.95,29.83,10,10,10,24,6,30,0.00,2,Thunderstorm,241<br />
2010-4-17,70,51,31,34,27,17,85,50,14,30.09,29.99,29.91,10,10,10,14,3,22,0.00,0,,313<br />
2010-4-18,73,52,31,29,24,18,78,46,13,30.02,29.92,29.83,10,10,10,12,3,17,0.00,0,,22<br />
2010-4-19,77,56,34,28,21,13,64,37,9,29.90,29.79,29.65,10,10,10,22,8,31,0.00,0,,182<br />
2010-4-20,73,55,36,41,33,20,92,56,20,29.70,29.59,29.40,10,10,7,33,12,51,0.16,4,Rain-Thunderstorm,206<br />
2010-4-21,54,45,35,39,35,30,92,71,50,29.65,29.52,29.43,10,10,9,22,7,26,0.06,6,Rain-Thunderstorm,117<br />
2010-4-22,38,35,32,34,32,30,100,88,76,29.90,29.75,29.56,10,4,1,10,4,13,0.70,8,Rain-Snow,229<br />
2010-4-23,53,43,32,35,31,28,96,70,44,30.10,29.98,29.87,10,10,3,18,8,22,0.01,3,Snow,238<br />
2010-4-24,63,47,30,35,32,29,100,66,32,30.13,30.08,30.01,10,10,10,24,7,28,0.00,2,,248<br />
2010-4-25,59,45,31,33,30,27,79,54,28,30.24,30.19,30.14,10,10,10,18,5,23,0.00,0,,289<br />
2010-4-26,68,49,30,33,29,20,92,54,15,30.18,29.99,29.80,10,10,10,14,3,17,0.00,0,,192<br />
2010-4-27,75,55,34,34,30,25,73,45,16,29.79,29.52,29.34,10,6,0,43,20,54,0.03,5,Rain-Snow,244<br />
2010-4-28,44,36,28,30,24,18,82,59,36,29.77,29.71,29.60,10,8,2,30,14,36,0.01,4,Snow,244<br />
2010-4-29,46,38,29,27,23,18,85,59,33,29.89,29.81,29.74,10,8,2,28,12,35,T,7,Snow,278<br />
2010-4-30,50,41,32,27,24,21,75,55,34,29.97,29.92,29.88,10,10,10,22,9,28,0.00,7,,299<br />
2010-5-1,55,40,24,30,25,21,85,58,30,29.97,29.87,29.75,10,10,10,28,11,38,0.00,4,,272<br />
2010-5-2,56,46,35,28,22,14,75,48,20,30.17,30.01,29.85,10,10,10,22,9,30,0.00,4,,324<br />
2010-5-3,71,52,32,33,24,20,64,40,16,30.17,30.04,29.89,10,10,10,37,15,46,T,1,,252<br />
2010-5-4,56,44,32,26,11,1,61,36,11,30.20,30.11,30.00,10,10,10,18,6,23,0.00,1,,315<br />
2010-5-5,59,42,24,22,15,9,68,43,18,30.06,29.91,29.81,10,10,10,32,11,40,0.00,1,,283<br />
2010-5-6,49,35,21,16,10,0,68,41,14,30.27,30.19,30.07,10,10,10,18,7,24,0.00,2,,290<br />
2010-5-7,62,40,17,16,11,5,73,42,11,30.29,30.15,30.00,10,10,10,15,3,21,0.00,0,,114<br />
2010-5-8,65,47,29,27,20,14,69,44,19,29.99,29.90,29.84,10,10,10,24,6,31,0.00,3,,248<br />
2010-5-9,64,47,29,39,28,15,78,47,16,29.90,29.81,29.67,10,10,10,24,6,31,T,3,Rain,123<br />
2010-5-10,58,46,34,37,33,25,92,61,30,29.84,29.78,29.72,10,10,10,31,8,46,0.02,6,Rain,222<br />
2010-5-11,48,40,32,38,34,28,96,79,61,30.01,29.83,29.68,10,8,1,26,10,32,0.16,8,Rain-Snow,233<br />
2010-5-12,56,45,34,37,34,29,100,69,38,30.09,30.02,29.98,10,10,10,25,5,33,0.04,6,Rain,179<br />
2010-5-13,62,46,30,37,32,28,100,66,32,30.12,30.08,30.03,10,9,2,18,4,24,0.00,3,,64<br />
2010-5-14,66,49,32,37,29,22,89,55,20,30.13,30.08,30.02,10,10,10,14,2,20,0.00,2,,72<br />
2010-5-15,72,54,35,33,29,23,82,49,16,30.12,30.05,29.98,10,10,10,18,4,23,0.00,1,,92<br />
2010-5-16,76,57,38,36,30,24,76,46,16,30.01,29.91,29.77,10,10,10,20,6,25,0.00,3,,98<br />
2010-5-17,76,62,47,37,30,22,61,37,13,29.80,29.71,29.65,10,10,10,26,13,35,0.00,3,,168<br />
2010-5-18,60,52,43,43,36,31,83,60,36,30.02,29.90,29.74,10,10,10,22,12,26,T,8,Rain,244<br />
2010-5-19,70,53,36,34,32,28,82,52,22,30.08,29.98,29.87,10,10,10,21,6,28,0.00,2,,240<br />
2010-5-20,65,54,43,39,24,15,66,41,16,30.02,29.94,29.86,10,10,10,23,10,33,0.00,3,,249<br />
2010-5-21,66,50,33,24,19,13,64,39,13,29.88,29.69,29.57,10,10,8,33,10,43,0.00,1,,240<br />
2010-5-22,47,40,32,27,15,5,75,47,19,29.82,29.77,29.62,10,10,5,29,14,37,T,5,Snow,256<br />
2010-5-23,51,41,30,32,23,15,76,54,31,29.83,29.78,29.71,10,10,10,23,7,29,0.00,5,,26<br />
2010-5-24,55,40,24,30,25,20,81,57,32,29.99,29.91,29.81,10,10,10,25,9,30,T,4,,260<br />
2010-5-25,71,52,32,29,25,24,72,61,49,29.99,29.98,29.96,10,10,10,22,7,40,0.00,5,,40<br />
2010-5-26,62,51,39,,,,,,,,,,,,,22,6,26,0.05,,,<br />
2010-5-27,58,49,39,,,,,,,,,,,,,29,6,36,0.20,,,<br />
2010-5-28,44,39,33,36,35,32,92,81,70,30.18,30.06,29.85,10,10,1,18,10,22,0.22,8,Rain-Snow,233<br />
2010-5-29,56,45,33,37,34,30,92,67,41,30.23,30.20,30.17,10,10,5,17,4,26,T,6,Rain,253<br />
2010-5-30,66,48,30,37,31,24,92,58,23,30.22,30.11,30.00,10,10,10,10,2,15,0.00,0,,297<br />
2010-5-31,71,55,39,43,36,31,85,54,23,29.98,29.93,29.88,10,10,10,29,7,37,0.04,3,,222<br />
2010-6-1,70,60,50,49,46,42,93,66,39,30.01,29.91,29.86,10,10,6,20,6,30,0.10,6,Rain,230<br />
2010-6-2,76,61,45,46,42,36,93,60,27,29.98,29.89,29.83,10,10,10,20,7,25,0.00,2,,248<br />
2010-6-3,75,65,54,51,46,40,75,55,35,29.91,29.85,29.77,10,10,10,22,8,25,T,7,Rain,235<br />
2010-6-4,76,64,52,53,49,44,93,64,35,29.95,29.88,29.81,10,10,10,26,9,33,T,6,Rain,250<br />
2010-6-5,82,64,45,49,44,41,93,60,26,30.11,30.02,29.96,10,10,10,18,7,25,0.00,0,,262<br />
2010-6-6,88,68,48,49,45,38,80,49,18,30.02,29.93,29.84,10,10,10,24,8,31,0.00,0,,247<br />
2010-6-7,78,65,51,49,43,36,83,54,25,29.97,29.92,29.87,10,10,10,20,7,26,0.00,2,,5<br />
2010-6-8,83,66,48,43,40,37,64,42,20,30.02,29.91,29.79,10,10,10,15,5,20,0.00,0,,42<br />
2010-6-9,78,64,49,43,34,24,48,34,20,29.83,29.78,29.72,10,10,10,29,12,36,0.00,1,,246<br />
2010-6-10,67,54,40,30,25,14,57,35,13,29.98,29.85,29.77,10,10,10,30,12,38,0.00,0,,283<br />
2010-6-11,67,50,32,33,28,22,76,48,19,30.03,29.99,29.95,10,10,10,26,10,32,0.00,2,,32<br />
2010-6-12,61,55,49,38,34,31,56,46,36,30.09,30.02,29.98,10,10,10,26,11,36,T,7,,56<br />
2010-6-13,75,58,41,38,34,29,76,48,20,30.11,30.07,30.03,10,10,10,16,3,22,0.00,4,,17<br />
2010-6-14,81,61,41,37,30,19,70,40,10,30.11,29.99,29.85,10,10,10,16,5,20,0.00,0,,181<br />
2010-6-15,84,64,44,38,32,28,62,38,14,29.84,29.72,29.55,10,10,10,28,8,41,T,1,Thunderstorm,194<br />
2010-6-16,63,49,34,36,23,7,50,32,14,30.05,29.82,29.62,10,10,10,36,13,46,0.00,1,,256<br />
2010-6-17,71,49,27,22,18,15,63,38,12,30.12,30.03,29.95,10,10,10,17,6,23,0.00,0,,356<br />
2010-6-18,81,58,35,32,26,21,70,41,11,29.99,29.86,29.75,10,10,10,33,5,44,0.00,1,,26<br />
2010-6-19,82,62,42,36,25,12,65,37,8,29.95,29.83,29.78,10,10,10,21,7,29,0.00,0,,260<br />
2010-6-20,78,60,42,35,23,7,45,26,7,29.99,29.89,29.84,10,10,10,28,10,33,0.00,0,,242<br />
2010-6-21,76,58,40,35,29,21,73,43,13,30.03,29.96,29.92,10,10,10,25,6,39,T,1,Rain,359<br />
2010-6-22,79,63,46,35,30,22,60,36,12,30.07,30.03,29.96,10,10,10,14,4,23,0.00,0,,150<br />
2010-6-23,89,67,45,37,30,18,71,40,8,30.07,29.98,29.87,10,10,10,18,5,25,0.00,0,,143<br />
2010-6-24,87,66,48,37,31,22,58,28,10,29.92,29.88,29.84,10,10,10,16,5,24,0.00,0,,263<br />
2010-6-25,90,73,56,43,36,21,51,30,9,29.91,29.83,29.71,10,10,2,33,5,43,0.00,1,,271<br />
2010-6-26,87,67,47,44,38,32,77,46,15,30.01,29.94,29.89,10,10,10,15,5,20,0.00,0,,345<br />
2010-6-27,91,69,47,43,36,25,71,40,9,30.00,29.92,29.83,10,10,10,13,3,17,0.00,0,,41<br />
2010-6-28,97,74,50,41,35,28,68,39,10,29.96,29.86,29.76,10,10,10,20,5,24,0.00,0,Thunderstorm,13<br />
2010-6-29,93,76,59,43,38,34,48,31,14,29.86,29.78,29.70,10,10,10,32,6,41,T,0,,94<br />
2010-6-30,93,75,56,42,34,26,59,35,10,29.85,29.77,29.68,10,10,10,28,6,37,0.00,0,,256<br />
2010-7-1,91,71,51,34,25,17,45,26,7,29.83,29.74,29.64,10,10,10,21,6,26,0.00,0,,241<br />
2010-7-2,85,70,54,34,27,19,40,25,10,29.87,29.69,29.59,10,10,10,29,12,38,0.00,0,,254<br />
2010-7-3,75,58,40,34,24,10,70,40,9,29.91,29.86,29.79,10,10,10,17,6,23,0.00,0,,256<br />
2010-7-4,80,61,42,33,27,22,62,37,11,30.04,29.99,29.92,10,10,10,18,3,24,0.00,0,,295<br />
2010-7-5,88,65,41,32,26,22,49,29,9,30.01,29.91,29.80,10,10,10,23,8,36,0.00,0,,260<br />
2010-7-6,87,67,47,35,31,26,54,33,12,29.96,29.89,29.82,10,10,10,20,6,29,0.00,0,,39<br />
2010-7-7,89,67,45,31,26,18,53,30,7,29.98,29.91,29.84,10,10,10,17,6,23,0.00,0,,41<br />
2010-7-8,93,71,48,33,27,18,46,27,7,29.99,29.92,29.86,10,10,10,21,5,29,0.00,0,,129<br />
