
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2003-3-2,33,27,21,28,16,9,92,64,38,30.29,30.18,30.09,10,10,6,16,12,22,0.00,2,,20<br />
2003-3-3,54,36,19,39,28,12,96,72,52,30.07,29.89,29.76,10,9,4,23,11,29,0.00,1,,198<br />
2003-3-4,43,31,19,43,30,14,100,94,80,29.89,29.73,29.65,5,2,1,21,7,25,0.02,7,Rain-Snow,112<br />
2003-3-5,19,17,10,14,12,8,88,81,73,30.05,29.98,29.92,10,9,2,14,10,17,0.00,7,Snow,16<br />
2003-3-6,37,23,9,33,21,5,100,89,76,30.04,29.95,29.84,10,9,5,18,8,22,0.00,3,,188<br />
2003-3-7,50,38,26,38,32,23,96,82,63,30.05,29.97,29.88,9,7,4,12,6,,0.00,0,,76<br />
2003-3-8,48,34,18,40,27,11,96,78,66,30.30,30.00,29.69,10,7,3,23,11,30,0.00,2,,14<br />
2003-3-9,28,19,10,11,6,-2,74,54,40,30.50,30.42,30.35,10,10,10,17,11,23,0.00,1,,32<br />
2003-3-10,37,26,15,18,12,7,75,59,39,30.40,30.28,30.11,10,10,10,12,6,,0.00,0,,108<br />
2003-3-11,51,37,23,41,31,18,100,80,46,30.11,29.93,29.84,10,7,2,16,7,,0.00,3,,205<br />
2003-3-12,59,44,28,54,44,27,100,90,77,29.97,29.86,29.81,6,4,1,20,6,25,0.43,5,Rain-Thunderstorm,123<br />
2003-3-13,57,46,35,43,38,34,100,85,57,30.28,30.20,30.03,9,4,2,17,10,16,0.00,4,,48<br />
2003-3-14,62,50,37,46,41,37,100,87,56,30.19,30.07,29.88,9,4,0,16,10,,0.00,4,Fog,175<br />
2003-3-15,78,60,43,53,48,41,93,65,37,29.88,29.79,29.70,10,8,4,22,13,28,0.00,0,,185<br />
